TimeCoordinate,Channel_1,Channel_2,Label
7,0.4946,0.5406,Extension
8,0.4897,0.5415,Extension
9,0.5239,0.6041,Extension
10,0.5982,0.784,Extension
11,0.5767,0.7116,Extension
12,0.5298,0.6266,Extension
13,0.5005,0.5415,Extension
14,0.4692,0.5161,Extension
15,0.4917,0.5758,Extension
16,0.5298,0.6012,Extension
17,0.5455,0.6295,Extension
18,0.5591,0.6403,Extension
19,0.5083,0.5591,Extension
-,-,-,-
0,0.4448,0.4663,Extension
1,0.4536,0.4712,Extension
2,0.4702,0.4966,Extension
3,0.52,0.5787,Extension
4,0.5758,0.6628,Extension
5,0.5601,0.6325,Extension
6,0.4907,0.5455,Extension
7,0.4575,0.479,Extension
8,0.4301,0.4321,Extension
9,0.4663,0.4976,Extension
10,0.5992,0.7195,Extension
11,0.7116,0.7928,Extension
12,0.6373,0.6931,Extension
13,0.5142,0.566,Extension
14,0.434,0.4526,Extension
15,0.435,0.4575,Extension
16,0.5083,0.5611,Extension
17,0.5591,0.6325,Extension
18,0.563,0.6491,Extension
19,0.5406,0.61,Extension
-,-,-,-
0,0.4575,0.4858,Extension
1,0.4477,0.4673,Extension
2,0.4868,0.5308,Extension
3,0.522,0.5797,Extension
4,0.5552,0.6285,Extension
5,0.5386,0.6061,Extension
6,0.4917,0.5367,Extension
7,0.478,0.5152,Extension
8,0.5523,0.6618,Extension
9,0.5816,0.7419,Extension
10,0.6119,0.7302,Extension
11,0.5376,0.6461,Extension
12,0.5015,0.5562,Extension
13,0.5112,0.5748,Extension
14,0.5132,0.5679,Extension
15,0.5152,0.5689,Extension
16,0.52,0.5875,Extension
17,0.4936,0.5367,Extension
18,0.4858,0.5279,Extension
19,0.5885,0.7048,Extension
-,-,-,-
0,0.5112,0.5738,Extension
1,0.5103,0.5679,Extension
2,0.521,0.5826,Extension
3,0.4927,0.5367,Extension
4,0.4702,0.4946,Extension
5,0.5005,0.5689,Extension
6,0.5171,0.5992,Extension
7,0.5846,0.7146,Extension
8,0.608,0.7761,Extension
9,0.5591,0.6422,Extension
10,0.5093,0.566,Extension
11,0.5161,0.5718,Extension
12,0.4927,0.5367,Extension
13,0.5034,0.5562,Extension
14,0.5415,0.6227,Extension
15,0.5269,0.5904,Extension
16,0.5015,0.5503,Extension
17,0.4956,0.5503,Extension
18,0.4712,0.5112,Extension
19,0.4848,0.5396,Extension
-,-,-,-
0,0.5191,0.5826,Extension
1,0.5132,0.5748,Extension
2,0.52,0.5826,Extension
3,0.5152,0.5689,Extension
4,0.4848,0.5376,Extension
5,0.48,0.5298,Extension
6,0.4995,0.5543,Extension
7,0.5015,0.5601,Extension
8,0.6012,0.6852,Extension
9,0.6452,0.7507,Extension
10,0.5777,0.6588,Extension
11,0.5152,0.6041,Extension
12,0.5122,0.5787,Extension
13,0.4673,0.4985,Extension
14,0.4917,0.5288,Extension
15,0.5308,0.5885,Extension
16,0.5367,0.61,Extension
17,0.5406,0.6129,Extension
18,0.5015,0.5611,Extension
19,0.4477,0.48,Extension
-,-,-,-
0,0.4516,0.4848,Extension
1,0.4878,0.5347,Extension
2,0.523,0.5943,Extension
3,0.5689,0.6628,Extension
4,0.5406,0.6227,Extension
5,0.4702,0.5142,Extension
6,0.4487,0.479,Extension
7,0.4399,0.4673,Extension
8,0.5015,0.5464,Extension
9,0.6579,0.7801,Extension
10,0.6432,0.915,Extension
11,0.5846,0.6872,Extension
12,0.477,0.5269,Extension
13,0.4428,0.4721,Extension
14,0.4516,0.4702,Extension
15,0.5259,0.5875,Extension
16,0.5689,0.652,Extension
17,0.5543,0.6305,Extension
18,0.5288,0.5953,Extension
19,0.4594,0.4917,Extension
-,-,-,-
0,0.4428,0.4682,Extension
1,0.4927,0.5484,Extension
2,0.5308,0.6031,Extension
3,0.5435,0.6197,Extension
4,0.5259,0.5943,Extension
5,0.4819,0.5161,Extension
6,0.4536,0.4858,Extension
7,0.5259,0.5709,Extension
8,0.566,0.6491,Extension
9,0.6022,0.7263,Extension
10,0.5943,0.7048,Extension
11,0.52,0.6012,Extension
12,0.5161,0.5679,Extension
13,0.5181,0.5865,Extension
14,0.5122,0.5621,Extension
15,0.4976,0.5406,Extension
16,0.4995,0.5425,Extension
17,0.479,0.52,Extension
18,0.4995,0.5494,Extension
19,0.5269,0.6022,Extension
-,-,-,-
