TimeCoordinate,Channel_1,Channel_2,Flexion
16,0.346,0.3157,Flexion

17,0.3343,0.3011,Flexion

18,0.3324,0.3089,Flexion

19,0.3353,0.305,Flexion

-,-,-,-

0,0.3402,0.3079,Flexion

1,0.3431,0.3118,Flexion

2,0.3343,0.3109,Flexion

3,0.349,0.3148,Flexion

4,0.3333,0.303,Flexion

5,0.3431,0.3226,Flexion

6,0.3548,0.3236,Flexion

7,0.3587,0.3245,Flexion

8,0.436,0.3949,Flexion

9,0.6149,0.6022,Flexion

10,0.6149,0.6207,Flexion

11,0.3744,0.3148,Flexion

12,0.3196,0.2708,Flexion

13,0.3363,0.2805,Flexion

14,0.3392,0.303,Flexion

15,0.3715,0.3421,Flexion

16,0.391,0.3636,Flexion

17,0.4008,0.3754,Flexion

18,0.3783,0.3675,Flexion

19,0.35,0.3157,Flexion

-,-,-,-

0,0.306,0.262,Flexion

1,0.2776,0.2434,Flexion

2,0.2835,0.2502,Flexion

3,0.305,0.2737,Flexion

4,0.3431,0.3177,Flexion

5,0.3891,0.3773,Flexion

6,0.4086,0.4135,Flexion

7,0.4497,0.4223,Flexion

8,0.6491,0.6051,Flexion

9,0.5298,0.5582,Flexion

10,0.4448,0.348,Flexion

11,0.2854,0.219,Flexion

12,0.2737,0.2307,Flexion

13,0.35,0.3069,Flexion

14,0.3803,0.3656,Flexion

15,0.4194,0.4008,Flexion

16,0.4497,0.4409,Flexion

17,0.4409,0.4379,Flexion

18,0.4184,0.4066,Flexion

19,0.3627,0.3402,Flexion

-,-,-,-

0,0.3196,0.2942,Flexion

1,0.306,0.2698,Flexion

2,0.304,0.2659,Flexion

3,0.3079,0.2766,Flexion

4,0.3441,0.3157,Flexion

5,0.4106,0.3822,Flexion

6,0.5464,0.6012,Flexion

7,0.5943,0.7224,Flexion

8,0.5435,0.5709,Flexion

9,0.3803,0.3402,Flexion

10,0.3216,0.2893,Flexion

11,0.303,0.2747,Flexion

12,0.3089,0.2786,Flexion

13,0.3196,0.2923,Flexion

14,0.3627,0.3392,Flexion

15,0.391,0.3675,Flexion

16,0.3998,0.3871,Flexion

17,0.3969,0.3793,Flexion

18,0.3744,0.348,Flexion

19,0.3382,0.3206,Flexion

-,-,-,-

0,0.3265,0.2962,Flexion

1,0.3177,0.2933,Flexion

2,0.3304,0.3021,Flexion

3,0.349,0.3138,Flexion

4,0.437,0.4282,Flexion

5,0.697,0.5846,Flexion

6,0.5103,0.5748,Flexion

7,0.4106,0.3548,Flexion

8,0.3881,0.3353,Flexion

9,0.3822,0.3441,Flexion

10,0.3959,0.3656,Flexion

11,0.4115,0.3949,Flexion

12,0.4135,0.392,Flexion

13,0.4076,0.3871,Flexion

14,0.4047,0.3842,Flexion

15,0.391,0.3783,Flexion

16,0.3822,0.3646,Flexion

17,0.3773,0.3656,Flexion

18,0.3842,0.3597,Flexion

19,0.3881,0.3861,Flexion

-,-,-,-

0,0.391,0.3783,Flexion

1,0.3988,0.3851,Flexion

2,0.3969,0.3939,Flexion

3,0.3891,0.3734,Flexion

4,0.3597,0.3372,Flexion

5,0.3607,0.3372,Flexion

6,0.3597,0.35,Flexion

7,0.5464,0.5474,Flexion

8,0.7556,0.7361,Flexion

9,0.5024,0.478,Flexion

10,0.4242,0.4047,Flexion

11,0.4154,0.391,Flexion

12,0.4076,0.3969,Flexion

13,0.4008,0.3783,Flexion

14,0.39,0.3695,Flexion

15,0.3597,0.3382,Flexion

16,0.3617,0.3363,Flexion

17,0.3578,0.3382,Flexion

18,0.3646,0.35,Flexion

19,0.3871,0.3724,Flexion

-,-,-,-

0,0.3949,0.3763,Flexion

1,0.3978,0.39,Flexion

2,0.3969,0.3773,Flexion

3,0.3812,0.3627,Flexion

