TimeCoordinate,Channel_1,Channel_2,Extension
3,0.5455,0.5142,Extension

4,0.5445,0.5112,Extension

5,0.5386,0.4868,Extension

6,0.5543,0.4956,Extension

7,0.5924,0.6012,Extension

8,0.8788,0.7478,Extension

9,0.7879,0.7791,Extension

10,0.6852,0.6158,Extension

11,0.5748,0.5327,Extension

12,0.5777,0.5455,Extension

13,0.5855,0.563,Extension

14,0.61,0.5836,Extension

15,0.608,0.5846,Extension

16,0.5973,0.5621,Extension

17,0.5904,0.564,Extension

18,0.5934,0.5552,Extension

19,0.5797,0.5347,Extension

-,-,-,-

0,0.5533,0.5132,Extension

1,0.5357,0.4829,Extension

2,0.521,0.4809,Extension

3,0.5357,0.5044,Extension

4,0.5591,0.5191,Extension

5,0.6422,0.6276,Extension

6,0.6716,0.6657,Extension

7,0.6979,0.7204,Extension

8,0.7752,0.739,Extension

9,0.695,0.7048,Extension

10,0.8006,0.7693,Extension

11,0.5474,0.479,Extension

12,0.4956,0.436,Extension

13,0.521,0.4868,Extension

14,0.5924,0.5494,Extension

15,0.6422,0.6207,Extension

16,0.6891,0.6657,Extension

17,0.6813,0.6696,Extension

18,0.6403,0.6256,Extension

19,0.567,0.5425,Extension

-,-,-,-

0,0.5024,0.4575,Extension

1,0.4633,0.4115,Extension

2,0.4712,0.4282,Extension

3,0.5826,0.5132,Extension

4,0.6979,0.6696,Extension

5,0.9365,0.8798,Extension

6,0.8876,0.9267,Extension

7,0.74,0.738,Extension

8,0.6706,0.6549,Extension

9,0.5904,0.565,Extension

10,0.5103,0.4575,Extension

11,0.4653,0.4125,Extension

12,0.4663,0.4115,Extension

13,0.5034,0.4448,Extension

14,0.567,0.52,Extension

15,0.6178,0.5885,Extension

16,0.6491,0.6295,Extension

17,0.6569,0.6266,Extension

18,0.6334,0.6109,Extension

19,0.5865,0.5503,Extension

-,-,-,-

0,0.5298,0.4907,Extension

1,0.5005,0.4536,Extension

2,0.4966,0.4536,Extension

3,0.5083,0.4741,Extension

4,0.5963,0.5943,Extension

5,0.7028,0.7028,Extension

6,0.7165,0.6891,Extension

7,0.6549,0.6285,Extension

8,0.5973,0.5396,Extension

9,0.5367,0.479,Extension

10,0.5024,0.4575,Extension

11,0.5015,0.4448,Extension

12,0.5103,0.4663,Extension

13,0.522,0.4702,Extension

14,0.5386,0.4858,Extension

15,0.5357,0.4936,Extension

16,0.5415,0.4976,Extension

17,0.5367,0.4956,Extension

