TimeCoordinate,Channel_1,Channel_2,Label
7,0.1554,0.1241,Flexion
8,0.1691,0.1437,Flexion
9,0.1984,0.1613,Flexion
10,0.2092,0.1857,Flexion
11,0.2424,0.2268,Flexion
12,0.1779,0.1398,Flexion
13,0.1554,0.1193,Flexion
14,0.1554,0.1241,Flexion
15,0.1779,0.1544,Flexion
16,0.1867,0.1642,Flexion
17,0.1808,0.1584,Flexion
18,0.1711,0.1457,Flexion
19,0.1544,0.1173,Flexion
-,-,-,-
0,0.1486,0.1124,Flexion
1,0.1554,0.1271,Flexion
2,0.1838,0.1603,Flexion
3,0.1935,0.176,Flexion
4,0.1828,0.1623,Flexion
5,0.1652,0.1378,Flexion
6,0.1496,0.1153,Flexion
7,0.1417,0.1046,Flexion
8,0.1564,0.1251,Flexion
9,0.1818,0.1505,Flexion
10,0.2248,0.1799,Flexion
11,0.2414,0.2014,Flexion
12,0.2414,0.2317,Flexion
13,0.2053,0.1613,Flexion
14,0.1584,0.1271,Flexion
15,0.1681,0.1369,Flexion
16,0.1828,0.1544,Flexion
17,0.176,0.1505,Flexion
18,0.1652,0.1398,Flexion
19,0.1632,0.1339,Flexion
-,-,-,-
0,0.1603,0.132,Flexion
1,0.1613,0.1339,Flexion
2,0.1652,0.1388,Flexion
3,0.1769,0.1505,Flexion
4,0.1623,0.1339,Flexion
5,0.1554,0.1271,Flexion
6,0.1603,0.1349,Flexion
7,0.1652,0.1369,Flexion
8,0.1603,0.1339,Flexion
9,0.1808,0.1329,Flexion
10,0.216,0.1564,Flexion
11,0.2248,0.2092,Flexion
12,0.2375,0.2053,Flexion
13,0.1945,0.1525,Flexion
14,0.172,0.1398,Flexion
15,0.1623,0.132,Flexion
16,0.1632,0.1378,Flexion
17,0.1613,0.1359,Flexion
18,0.1593,0.1359,Flexion
19,0.1632,0.1408,Flexion
-,-,-,-
0,0.176,0.1535,Flexion
1,0.1711,0.1486,Flexion
2,0.1642,0.1417,Flexion
3,0.1613,0.1349,Flexion
4,0.1613,0.1359,Flexion
5,0.1584,0.1349,Flexion
6,0.1642,0.1408,Flexion
7,0.174,0.1476,Flexion
8,0.1701,0.1437,Flexion
9,0.1603,0.13,Flexion
10,0.1681,0.13,Flexion
11,0.2141,0.1681,Flexion
12,0.2522,0.262,Flexion
13,0.3001,0.3236,Flexion
14,0.2375,0.1975,Flexion
15,0.1769,0.1408,Flexion
16,0.1632,0.13,Flexion
17,0.1623,0.1349,Flexion
18,0.1623,0.1359,Flexion
19,0.1603,0.1359,Flexion
-,-,-,-
0,0.1642,0.1398,Flexion
1,0.175,0.1525,Flexion
2,0.173,0.1505,Flexion
3,0.1672,0.1447,Flexion
4,0.1711,0.1476,Flexion
5,0.1681,0.1417,Flexion
6,0.1672,0.1427,Flexion
7,0.4536,0.4868,Flexion
8,0.5083,0.5679,Flexion
9,0.1887,0.172,Flexion
10,0.1662,0.1437,Flexion
11,0.1623,0.1408,Flexion
12,0.1457,0.1232,Flexion
13,0.1554,0.1193,Flexion
14,0.1828,0.1427,Flexion
15,0.262,0.2239,Flexion
16,0.3196,0.3128,Flexion
17,0.3157,0.3412,Flexion
18,0.2199,0.176,Flexion
19,0.1505,0.1144,Flexion
-,-,-,-
0,0.1398,0.1017,Flexion
1,0.1515,0.1183,Flexion
2,0.1789,0.1515,Flexion
3,0.1867,0.1652,Flexion
4,0.1838,0.1642,Flexion
5,0.172,0.1496,Flexion
6,0.1515,0.1232,Flexion
7,0.1427,0.1114,Flexion
8,0.1574,0.1329,Flexion
9,0.1799,0.1613,Flexion
10,0.1857,0.1672,Flexion
11,0.1789,0.1584,Flexion
12,0.1711,0.1437,Flexion
13,0.1515,0.1222,Flexion
14,0.1515,0.1193,Flexion
15,0.173,0.1408,Flexion
16,0.1857,0.174,Flexion
17,0.2346,0.2102,Flexion
18,0.2825,0.2502,Flexion
19,0.2688,0.2336,Flexion
-,-,-,-
0,0.1691,0.1427,Flexion
1,0.1623,0.131,Flexion
2,0.1711,0.1505,Flexion
3,0.174,0.1515,Flexion
4,0.1652,0.1388,Flexion
5,0.1584,0.1339,Flexion
6,0.1662,0.1427,Flexion
7,0.1691,0.1457,Flexion
8,0.1662,0.1427,Flexion
9,0.1632,0.1388,Flexion
10,0.1642,0.1369,Flexion
11,0.1584,0.1329,Flexion
12,0.1593,0.1349,Flexion
13,0.172,0.1466,Flexion
14,0.173,0.1496,Flexion
15,0.1691,0.1398,Flexion
16,0.1769,0.1457,Flexion
17,0.2141,0.2307,Flexion
18,0.262,0.2473,Flexion
19,0.2385,0.2258,Flexion
-,-,-,-
0,0.1887,0.1574,Flexion
1,0.175,0.1505,Flexion
2,0.1642,0.1378,Flexion
3,0.1603,0.132,Flexion
4,0.1662,0.1408,Flexion
5,0.1662,0.1408,Flexion
6,0.1632,0.1398,Flexion
7,0.174,0.1535,Flexion
8,0.175,0.1515,Flexion
9,0.1632,0.1388,Flexion
10,0.1642,0.1329,Flexion
11,0.1642,0.1349,Flexion
12,0.1603,0.1349,Flexion
13,0.175,0.1574,Flexion
14,0.2072,0.2287,Flexion
15,0.2649,0.2375,Flexion
16,0.1848,0.1613,Flexion
17,0.1603,0.132,Flexion
18,0.1642,0.1388,Flexion
19,0.1642,0.1398,Flexion
-,-,-,-
0,0.1632,0.1388,Flexion
1,0.1711,0.1476,Flexion
2,0.172,0.1486,Flexion
3,0.1662,0.1427,Flexion
4,0.1711,0.1437,Flexion
5,0.1672,0.1398,Flexion
6,0.1564,0.1281,Flexion
7,0.1564,0.1281,Flexion
8,0.1672,0.1427,Flexion
9,0.1769,0.1457,Flexion
10,0.1779,0.1544,Flexion
11,0.1769,0.1544,Flexion
12,0.1848,0.176,Flexion
13,0.219,0.2219,Flexion
14,0.2375,0.2326,Flexion
15,0.2366,0.2287,Flexion
16,0.2092,0.1896,Flexion
17,0.1828,0.1623,Flexion
18,0.1652,0.1369,Flexion
19,0.1584,0.1261,Flexion
-,-,-,-
0,0.1476,0.1193,Flexion
1,0.1544,0.1261,Flexion
2,0.1769,0.1574,Flexion
3,0.1896,0.1691,Flexion
4,0.1779,0.1593,Flexion
5,0.1642,0.1408,Flexion
6,0.1515,0.1232,Flexion
7,0.1417,0.1095,Flexion
8,0.1544,0.1329,Flexion
9,0.2014,0.2053,Flexion
10,0.2444,0.2463,Flexion
11,0.2542,0.2102,Flexion
12,0.2209,0.175,Flexion
13,0.1672,0.131,Flexion
14,0.1574,0.131,Flexion
15,0.1672,0.1408,Flexion
16,0.1789,0.1564,Flexion
17,0.1799,0.1574,Flexion
18,0.1652,0.1378,Flexion
19,0.1515,0.1271,Flexion
-,-,-,-
0,0.1584,0.1329,Flexion
1,0.1672,0.1388,Flexion
2,0.1691,0.1427,Flexion
3,0.172,0.1447,Flexion
4,0.175,0.1476,Flexion
5,0.1642,0.1388,Flexion
6,0.1662,0.1408,Flexion
7,0.1867,0.1554,Flexion
8,0.2326,0.1887,Flexion
9,0.2463,0.2395,Flexion
10,0.2649,0.2669,Flexion
11,0.1916,0.1681,Flexion
12,0.1632,0.131,Flexion
13,0.1681,0.1417,Flexion
14,0.1779,0.1554,Flexion
15,0.174,0.1486,Flexion
16,0.1632,0.1329,Flexion
17,0.1603,0.13,Flexion
18,0.1652,0.1398,Flexion
19,0.1642,0.1408,Flexion
-,-,-,-
0,0.1681,0.1466,Flexion
1,0.173,0.1515,Flexion
2,0.1701,0.1398,Flexion
3,0.1574,0.129,Flexion
4,0.1701,0.131,Flexion
5,0.1926,0.1662,Flexion
6,0.2131,0.2199,Flexion
7,0.2845,0.304,Flexion
8,0.3099,0.2747,Flexion
9,0.2082,0.1857,Flexion
10,0.218,0.1672,Flexion
11,0.1789,0.1466,Flexion
12,0.174,0.1398,Flexion
13,0.1642,0.1427,Flexion
14,0.1652,0.1417,Flexion
15,0.1711,0.1466,Flexion
16,0.1681,0.1457,Flexion
17,0.1593,0.1359,Flexion
18,0.1613,0.1388,Flexion
19,0.1672,0.1437,Flexion
-,-,-,-
0,0.1632,0.1398,Flexion
1,0.1593,0.1388,Flexion
2,0.1701,0.1466,Flexion
3,0.1789,0.1525,Flexion
4,0.176,0.1584,Flexion
